title,console,genre,publisher,critic_score,total_sales,release_date,last_update
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,6.9,4.15,11/17/2015,3/24/2018
Madden NFL 2003,PS2,Sports,EA Sports,9.4,4.14,8/12/2002,
Assassin's Creed: Unity,PS4,Action,Ubisoft,,4.14,11/11/2014,5/4/2018
Destiny 2,PS4,Shooter,Activision,,4.14,9/6/2017,4/20/2018
FIFA 07 Soccer,PS2,Sports,EA Sports,8.4,4.11,10/3/2006,
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,8.1,4.11,6/23/2015,1/4/2018
The Sims 4,PC,Simulation,Electronic Arts,7,4.1,9/2/2014,12/29/2017
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,8.2,4.08,10/19/2010,
Carnival Games,Wii,Misc,Global Star Software,4.2,4.06,8/28/2007,
Far Cry 4,PS4,Shooter,Ubisoft,8.4,4.06,11/18/2014,1/23/2018
Assassin's Creed Origins,PS4,Action,Ubisoft,,4.06,10/27/2017,1/10/2018
World Soccer Winning Eleven 9,PS2,Sports,Konami,8.9,4.06,2/7/2006,
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,9.1,4.05,5/29/2007,
Namco Museum Vol.3,PS,Misc,Namco,,4.05,1/31/1997,
Tekken Tag Tournament,PS2,Fighting,Namco,8.7,4.05,10/25/2000,
Fallout 3,PS3,Role-Playing,Bethesda Softworks,8.8,4,10/28/2008,
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,9.2,3.99,11/11/2011,4/1/2018
NBA 2K16,PS4,Sports,2K Sports,8.7,3.98,9/29/2015,3/28/2018
Namco Museum: 50th Anniversary,PS2,Misc,Namco,,3.98,8/30/2005,
Far Cry 5,PS4,Action,Ubisoft,7.9,3.95,3/27/2018,2/28/2018
Battlefield 4,PS4,Shooter,Electronic Arts,8.3,3.94,11/15/2013,1/9/2018
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,8.7,3.94,10/29/2013,3/14/2018
Tony Hawk's Underground,PS2,Sports,Activision,8.7,3.9,10/27/2003,
Just Dance 2014,Wii,Music,Ubisoft,7.4,3.89,10/8/2013,3/8/2018
Sports Champions,PS3,Sports,Sony Computer Entertainment,7.6,3.88,9/17/2010,
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,9.3,3.85,2/1/2005,
Namco Museum Vol.1,PS,Misc,Namco,,3.84,7/31/1996,
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,7.5,3.76,6/3/2008,
The Sims: Unleashed,PC,Simulation,Electronic Arts,7.3,3.76,9/23/2002,
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,8.5,3.75,2/13/2007,
FIFA 17,XOne,Sports,Electronic Arts,8.8,3.71,9/27/2016,3/28/2018
FIFA Soccer 2005,PS2,Sports,EA Sports,8.4,3.7,10/12/2004,
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,9.6,3.67,10/23/2002,
MySims,DS,Simulation,Electronic Arts,6.7,3.66,9/18/2007,
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,7.2,3.66,6/27/2005,
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,8,3.65,8/27/2002,
Battlefield 4,PS3,Shooter,Electronic Arts,8.7,3.64,10/29/2013,1/4/2018
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,9,3.64,12/4/2001,
Pro Evolution Soccer 2008,PS2,Sports,Konami,8.2,3.63,3/11/2008,
FIFA Soccer 10,PS3,Sports,EA Sports,9,3.63,10/20/2009,
Guitar Hero: World Tour,Wii,Misc,Activision,8.4,3.62,10/26/2008,
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,6.1,3.61,11/24/2001,
Star Wars Battlefront,PS2,Shooter,LucasArts,8.1,3.61,9/20/2004,
Doom II,PC,Shooter,GT Interactive,9.3,3.61,9/30/1994,
Assassin's Creed Syndicate,PS4,Action,Ubisoft,8.6,3.6,10/23/2015,5/4/2018
Star Wars Battlefront II,PS2,Shooter,LucasArts,8.5,3.59,11/1/2005,
Assassin's Creed: Unity,XOne,Action,Ubisoft,,3.58,11/11/2014,5/4/2018
WWF SmackDown!,PS,Fighting,THQ,,3.58,3/1/2000,
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,6.9,3.58,11/13/2007,
The Getaway,PS2,Action,Sony Computer Entertainment,7.7,3.54,1/19/2003,
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,8.2,3.54,11/21/1998,
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,8.3,3.54,6/6/2006,
Battlefield 4,X360,Shooter,Electronic Arts,8.7,3.54,10/29/2013,1/4/2018
Batman: Arkham Asylum,X360,Action,Eidos Interactive,9.1,3.54,8/25/2009,
Resident Evil 5,X360,Action,Capcom,8.6,3.53,3/13/2009,
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,9.1,3.53,11/16/2010,
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,7.9,3.53,4/2/2005,
James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts,,3.53,11/13/2001,
Rugrats in Paris: The Movie,PS,Action,THQ,,3.52,10/29/2000,
FIFA Soccer 11,X360,Sports,EA Sports,8.7,3.52,9/28/2010,
NBA 2K17,PS4,Sports,2K Sports,9,3.52,9/16/2016,3/28/2018
Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,,3.49,4/14/2015,1/4/2018
FIFA Soccer 2004,PS2,Sports,EA Sports,8,3.49,11/4/2003,
Borderlands,X360,Shooter,2K Games,8.3,3.48,10/20/2009,
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,9,3.48,3/2/2010,
Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega,7.6,3.47,10/13/2009,
Guitar Hero: On Tour,DS,Misc,Activision,7.1,3.46,6/22/2008,
Tekken 4,PS2,Fighting,Namco,7.9,3.44,9/23/2002,
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,7.5,3.44,9/23/2008,
Halo: The Master Chief Collection,XOne,Shooter,Microsoft Studios,8.8,3.44,11/11/2014,3/24/2018
LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,9.1,3.43,1/18/2011,
FIFA 14,PS4,Sports,EA Sports,,3.43,11/15/2013,9/15/2018
Grand Theft Auto 2,PS,Action,Rockstar Games,6.9,3.42,10/25/1999,
Destiny,XOne,Shooter,Activision,8.3,3.41,9/9/2014,1/12/2018
