FIPS Code,State,Area name,Attribute,Value
31131,NE,Otoe County,"Percent of adults with a bachelor's degree or higher, 2019-23",27.18129927
31061,NE,Franklin County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.00939408
31071,NE,Garfield County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.6787117
31171,NE,Thomas County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.93069307
32033,NV,White Pine County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.15278403
32013,NV,Humboldt County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.7978022
32017,NV,Lincoln County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.98654989
32005,NV,Douglas County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.05157608
32023,NV,Nye County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.67374517
32019,NV,Lyon County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.20576552
32027,NV,Pershing County,"Percent of adults with a bachelor's degree or higher, 2019-23",9.348441926
32015,NV,Lander County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.56804734
